"StateCode","EQDeductibleTier","EQClass","EQDeductible","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor"
"CW",1,"3C","2,500",500001,2147483647,1.353
"CW",1,"3C","5,000",0,100001,1.137
"CW",1,"3C","5,000",100001,250001,1.238
"CW",1,"3C","5,000",250001,500001,1.278
"CW",1,"3C","5,000",500001,2147483647,1.351
"CW",1,"3C","10,000",0,250001,1.039
"CW",1,"3C","10,000",250001,500001,1.181
"CW",1,"3C","10,000",500001,1000001,1.238
"CW",1,"3C","10,000",1000001,5000001,1.304
"CW",1,"3C","10,000",5000001,2147483647,1.349
"CW",1,"3C","25,000",0,500001,1
"CW",1,"3C","25,000",500001,1000001,1.158
"CW",1,"3C","25,000",1000001,5000001,1.267
"CW",1,"3C","25,000",5000001,10000001,1.304
"CW",1,"3C","25,000",10000001,2147483647,1.345
"CW",1,"3C","50,000",0,1000001,0.999
"CW",1,"3C","50,000",1000001,3500001,1.198
"CW",1,"3C","50,000",3500001,5500001,1.25
"CW",1,"3C","50,000",5500001,10000001,1.279
"CW",1,"3C","50,000",10000001,2147483647,1.339
"CW",1,"3C","75,000",0,1000001,0.919
"CW",1,"3C","75,000",1000001,3500001,1.158
"CW",1,"3C","75,000",3500001,5500001,1.222
"CW",1,"3C","75,000",5500001,10000001,1.258
"CW",1,"3C","75,000",10000001,2147483647,1.335
"CW",1,"3C","100,000",0,1000001,0.851
"CW",1,"3C","100,000",1000001,3500001,1.124
"CW",1,"3C","100,000",3500001,5500001,1.198
"CW",1,"3C","100,000",5500001,10000001,1.241
"CW",1,"3C","100,000",10000001,2147483647,1.331
"CW",1,"3C","250,000",0,1000001,0.561
"CW",1,"3C","250,000",1000001,3500001,0.98
"CW",1,"3C","250,000",3500001,5500001,1.095
"CW",1,"3C","250,000",5500001,10000001,1.162
"CW",1,"3C","250,000",10000001,2147483647,1.312
"CW",1,"3C","500,000",0,1000001,0.425
"CW",1,"3C","500,000",1000001,3500001,0.824
"CW",1,"3C","500,000",3500001,5500001,0.98
"CW",1,"3C","500,000",5500001,10000001,1.073
"CW",1,"3C","500,000",10000001,2147483647,1.29
"CW",1,"3C","750,000",0,1000001,0.354
"CW",1,"3C","750,000",1000001,3500001,0.707
"CW",1,"3C","750,000",3500001,5500001,0.895
"CW",1,"3C","750,000",5500001,10000001,1.006
"CW",1,"3C","750,000",10000001,2147483647,1.272
"CW",1,"3C","1,000,000",0,1000001,0
"CW",1,"3C","1,000,000",1000001,3500001,0.607
"CW",1,"3C","1,000,000",3500001,5500001,0.824
"CW",1,"3C","1,000,000",5500001,10000001,0.951
"CW",1,"3C","1,000,000",10000001,2147483647,1.257
"CW",1,"4A","500",0,50001,1.107
"CW",1,"4A","500",50001,100001,1.183
"CW",1,"4A","500",100001,250001,1.216
"CW",1,"4A","500",250001,2147483647,1.262
"CW",1,"4A","1,000",0,50001,1.031
"CW",1,"4A","1,000",50001,100001,1.14
"CW",1,"4A","1,000",100001,250001,1.19
"CW",1,"4A","1,000",250001,2147483647,1.261
"CW",1,"4A","2,500",0,100001,1
"CW",1,"4A","2,500",100001,250001,1.135
"CW",1,"4A","2,500",250001,500001,1.183
"CW",1,"4A","2,500",500001,2147483647,1.26
"CW",1,"4A","5,000",0,100001,1.031
"CW",1,"4A","5,000",100001,250001,1.14
"CW",1,"4A","5,000",250001,500001,1.183
"CW",1,"4A","5,000",500001,2147483647,1.259
"CW",1,"4A","10,000",0,250001,0.924
"CW",1,"4A","10,000",250001,500001,1.079
"CW",1,"4A","10,000",500001,1000001,1.14
"CW",1,"4A","10,000",1000001,5000001,1.211
"CW",1,"4A","10,000",5000001,2147483647,1.257
"CW",1,"4A","25,000",0,500001,0.883
"CW",1,"4A","25,000",500001,1000001,1.053
"CW",1,"4A","25,000",1000001,5000001,1.171
"CW",1,"4A","25,000",5000001,10000001,1.211
"CW",1,"4A","25,000",10000001,2147483647,1.253
"CW",1,"4A","50,000",0,1000001,0.882
"CW",1,"4A","50,000",1000001,3500001,1.097
"CW",1,"4A","50,000",3500001,5500001,1.153
"CW",1,"4A","50,000",5500001,10000001,1.184
"CW",1,"4A","50,000",10000001,2147483647,1.247
"CW",1,"4A","75,000",0,1000001,0.797
