"StateCode","EQDeductibleTier","EQClass","EQDeductible","Factor"
"CW",3,"3C","10%",1
"CW",3,"3C","15%",0.75
"CW",3,"3C","20%",0.55
"CW",3,"3C","25%",0.4
"CW",3,"3C","30%",0.3
"CW",3,"3C","35%",0.2
"CW",3,"3C","40%",0.15
"CW",3,"4A","5%",1
"CW",3,"4A","10%",0.5
"CW",3,"4A","15%",0.3
"CW",3,"4A","20%",0.15
"CW",3,"4A","25%",0.1
"CW",3,"4A","30%",0.05
"CW",3,"4A","35%",0.05
"CW",3,"4A","40%",0.05
"CW",3,"4B","5%",1
"CW",3,"4B","10%",0.6
"CW",3,"4B","15%",0.35
"CW",3,"4B","20%",0.2
"CW",3,"4B","25%",0.15
"CW",3,"4B","30%",0.1
"CW",3,"4B","35%",0.05
"CW",3,"4B","40%",0.05
"CW",3,"4C","5%",1
"CW",3,"4C","10%",1
"CW",3,"4C","15%",0.75
"CW",3,"4C","20%",0.55
"CW",3,"4C","25%",0.4
"CW",3,"4C","30%",0.3
"CW",3,"4C","35%",0.2
"CW",3,"4C","40%",0.15
"CW",3,"4D","5%",1
"CW",3,"4D","10%",1
"CW",3,"4D","15%",0.75
"CW",3,"4D","20%",0.55
"CW",3,"4D","25%",0.4
"CW",3,"4D","30%",0.3
"CW",3,"4D","35%",0.2
"CW",3,"4D","40%",0.15
"CW",3,"5A","5%",1
"CW",3,"5A","10%",0.6
"CW",3,"5A","15%",0.35
"CW",3,"5A","20%",0.2
"CW",3,"5A","25%",0.15
"CW",3,"5A","30%",0.1
"CW",3,"5A","35%",0.05
"CW",3,"5A","40%",0.05
"CW",3,"5AA","5%",1
"CW",3,"5AA","10%",1
"CW",3,"5AA","15%",0.6
"CW",3,"5AA","20%",0.4
"CW",3,"5AA","25%",0.25
"CW",3,"5AA","30%",0.15
"CW",3,"5AA","35%",0.1
"CW",3,"5AA","40%",0.05
"CW",3,"5B","5%",1
"CW",3,"5B","10%",1
"CW",3,"5B","15%",0.75
"CW",3,"5B","20%",0.55
"CW",3,"5B","25%",0.4
"CW",3,"5B","30%",0.3
"CW",3,"5B","35%",0.2
"CW",3,"5B","40%",0.15
"CW",3,"5C","5%",1
"CW",3,"5C","10%",1
"CW",3,"5C","15%",0.75
"CW",3,"5C","20%",0.55
"CW",3,"5C","25%",0.4
"CW",3,"5C","30%",0.3
"CW",3,"5C","35%",0.2
"CW",3,"5C","40%",0.15
