"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","1,000",60,65,250001,2147483647,1.171,1.12
"CW","1,000",65,70,0,50001,1.039,1.001
"CW","1,000",65,70,50001,100001,1.086,1.045
"CW","1,000",65,70,100001,250001,1.104,1.061
"CW","1,000",65,70,250001,2147483647,1.12,1.076
"CW","1,000",70,75,0,50001,1.001,0.967
"CW","1,000",70,75,50001,100001,1.045,1.007
"CW","1,000",70,75,100001,250001,1.061,1.022
"CW","1,000",70,75,250001,2147483647,1.076,1.036
"CW","1,000",75,80,0,50001,0.967,0.933
"CW","1,000",75,80,50001,100001,1.007,0.973
"CW","1,000",75,80,100001,250001,1.022,0.986
"CW","1,000",75,80,250001,2147483647,1.036,0.996
"CW","1,000",80,90,0,50001,0.933,0.886
"CW","1,000",80,90,50001,100001,0.973,0.924
"CW","1,000",80,90,100001,250001,0.986,0.937
"CW","1,000",80,90,250001,2147483647,0.996,0.946
"CW","1,000",90,100,0,50001,0.886,0.84
"CW","1,000",90,100,50001,100001,0.924,0.876
"CW","1,000",90,100,100001,250001,0.937,0.887
"CW","1,000",90,100,250001,2147483647,0.946,0.896
"CW","1,000",100,2147483647,0,50001,0.84,0.84
"CW","1,000",100,2147483647,50001,100001,0.876,0.876
"CW","1,000",100,2147483647,100001,250001,0.887,0.887
"CW","1,000",100,2147483647,250001,2147483647,0.896,0.896
