"StateCode","Deductible","InsuranceToValueLevelPercentage_From","InsuranceToValueLevelPercentage_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW","1,000,000",15,20,1500001,2000001,0.512,0.5
"CW","1,000,000",15,20,2000001,3500001,0.683,0.66
"CW","1,000,000",15,20,3500001,5500001,0.917,0.872
"CW","1,000,000",15,20,5500001,10000001,1.189,1.116
"CW","1,000,000",15,20,10000001,2147483647,1.611,1.48
"CW","1,000,000",20,25,0,1500001,0.448,0.454
"CW","1,000,000",20,25,1500001,2000001,0.5,0.49
"CW","1,000,000",20,25,2000001,3500001,0.66,0.637
"CW","1,000,000",20,25,3500001,5500001,0.872,0.832
"CW","1,000,000",20,25,5500001,10000001,1.116,1.053
"CW","1,000,000",20,25,10000001,2147483647,1.48,1.376
"CW","1,000,000",25,30,0,1500001,0.454,0.459
"CW","1,000,000",25,30,1500001,2000001,0.49,0.483
"CW","1,000,000",25,30,2000001,3500001,0.637,0.616
"CW","1,000,000",25,30,3500001,5500001,0.832,0.797
"CW","1,000,000",25,30,5500001,10000001,1.053,0.997
"CW","1,000,000",25,30,10000001,2147483647,1.376,1.288
"CW","1,000,000",30,35,0,1500001,0.459,0.448
"CW","1,000,000",30,35,1500001,2000001,0.483,0.505
"CW","1,000,000",30,35,2000001,3500001,0.616,0.597
"CW","1,000,000",30,35,3500001,5500001,0.797,0.763
"CW","1,000,000",30,35,5500001,10000001,0.997,0.951
"CW","1,000,000",30,35,10000001,2147483647,1.288,1.214
"CW","1,000,000",35,40,0,1500001,0.448,0
"CW","1,000,000",35,40,1500001,2000001,0.505,0.498
"CW","1,000,000",35,40,2000001,3500001,0.597,0.582
"CW","1,000,000",35,40,3500001,5500001,0.763,0.736
"CW","1,000,000",35,40,5500001,10000001,0.951,0.908
"CW","1,000,000",35,40,10000001,2147483647,1.214,1.15
"CW","1,000,000",40,45,0,1500001,0,0
"CW","1,000,000",40,45,1500001,2000001,0.498,0.492
"CW","1,000,000",40,45,2000001,3500001,0.582,0.567
"CW","1,000,000",40,45,3500001,5500001,0.736,0.711
"CW","1,000,000",40,45,5500001,10000001,0.908,0.871
"CW","1,000,000",40,45,10000001,2147483647,1.15,1.093
"CW","1,000,000",45,50,0,1500001,0,0
"CW","1,000,000",45,50,1500001,2000001,0.492,0.496
"CW","1,000,000",45,50,2000001,3500001,0.567,0.555
"CW","1,000,000",45,50,3500001,5500001,0.711,0.688
"CW","1,000,000",45,50,5500001,10000001,0.871,0.837
"CW","1,000,000",45,50,10000001,2147483647,1.093,1.043
"CW","1,000,000",50,55,0,1500001,0,0
"CW","1,000,000",50,55,1500001,2000001,0.496,0
"CW","1,000,000",50,55,2000001,3500001,0.555,0.544
"CW","1,000,000",50,55,3500001,5500001,0.688,0.668
"CW","1,000,000",50,55,5500001,10000001,0.837,0.806
"CW","1,000,000",50,55,10000001,2147483647,1.043,0.999
"CW","1,000,000",55,60,0,1500001,0,0
"CW","1,000,000",55,60,1500001,2000001,0,0
"CW","1,000,000",55,60,2000001,3500001,0.544,0.572
"CW","1,000,000",55,60,3500001,5500001,0.668,0.649
"CW","1,000,000",55,60,5500001,10000001,0.806,0.78
"CW","1,000,000",55,60,10000001,2147483647,0.999,0.959
"CW","1,000,000",60,65,0,1500001,0,0
"CW","1,000,000",60,65,1500001,2000001,0,0
"CW","1,000,000",60,65,2000001,3500001,0.572,0.571
"CW","1,000,000",60,65,3500001,5500001,0.649,0.657
"CW","1,000,000",60,65,5500001,10000001,0.78,0.754
"CW","1,000,000",60,65,10000001,2147483647,0.959,0.923
"CW","1,000,000",65,70,0,1500001,0,0
"CW","1,000,000",65,70,1500001,2000001,0,0
"CW","1,000,000",65,70,2000001,3500001,0.571,0.571
"CW","1,000,000",65,70,3500001,5500001,0.657,0.642
"CW","1,000,000",65,70,5500001,10000001,0.754,0.757
"CW","1,000,000",65,70,10000001,2147483647,0.923,0.89
"CW","1,000,000",70,75,0,1500001,0,0
"CW","1,000,000",70,75,1500001,2000001,0,0
"CW","1,000,000",70,75,2000001,3500001,0.571,0.545
"CW","1,000,000",70,75,3500001,5500001,0.642,0.629
"CW","1,000,000",70,75,5500001,10000001,0.757,0.759
"CW","1,000,000",70,75,10000001,2147483647,0.89,0.861
"CW","1,000,000",75,80,0,1500001,0,0
"CW","1,000,000",75,80,1500001,2000001,0,0
"CW","1,000,000",75,80,2000001,3500001,0.545,0
"CW","1,000,000",75,80,3500001,5500001,0.629,0.637
"CW","1,000,000",75,80,5500001,10000001,0.759,0.739
"CW","1,000,000",75,80,10000001,2147483647,0.861,0.835
"CW","1,000,000",80,90,0,1500001,0,0
"CW","1,000,000",80,90,1500001,2000001,0,0
"CW","1,000,000",80,90,2000001,3500001,0,0
"CW","1,000,000",80,90,3500001,5500001,0.637,0.605
"CW","1,000,000",80,90,5500001,10000001,0.739,0.702
"CW","1,000,000",80,90,10000001,2147483647,0.835,0.793
"CW","1,000,000",90,100,0,1500001,0,0
"CW","1,000,000",90,100,1500001,2000001,0,0
"CW","1,000,000",90,100,2000001,3500001,0,0
"CW","1,000,000",90,100,3500001,5500001,0.605,0
"CW","1,000,000",90,100,5500001,10000001,0.702,0
"CW","1,000,000",90,100,10000001,2147483647,0.793,0.751
"CW","1,000,000",100,2147483647,0,1500001,0,0
"CW","1,000,000",100,2147483647,1500001,2000001,0,0
"CW","1,000,000",100,2147483647,2000001,3500001,0,0
"CW","1,000,000",100,2147483647,3500001,5500001,0,0
"CW","1,000,000",100,2147483647,5500001,10000001,0,0
"CW","1,000,000",100,2147483647,10000001,2147483647,0.751,0.751
