"StateCode","EQDeductibleTier","EQClass","EQDeductible","EQSubLimitPct_From","EQSubLimitPct_ToLessThan","TotalPropertyValue_From","TotalPropertyValue_ToLessThan","Factor_From","Factor_ToLessThan",
"CW",1,"1D","750,000",20,25,10000001,2147483647,1.632,1.51
"CW",1,"1D","750,000",25,30,0,1000001,0,0
"CW",1,"1D","750,000",25,30,1000001,3500001,0.806,0.8
"CW",1,"1D","750,000",25,30,3500001,5500001,1.005,0.973
"CW",1,"1D","750,000",25,30,5500001,10000001,1.197,1.141
"CW",1,"1D","750,000",25,30,10000001,2147483647,1.51,1.416
"CW",1,"1D","750,000",30,35,0,1000001,0,0
"CW",1,"1D","750,000",30,35,1000001,3500001,0.8,0.798
"CW",1,"1D","750,000",30,35,3500001,5500001,0.973,0.944
"CW",1,"1D","750,000",30,35,5500001,10000001,1.141,1.095
"CW",1,"1D","750,000",30,35,10000001,2147483647,1.416,1.339
"CW",1,"1D","750,000",35,40,0,1000001,0,0
"CW",1,"1D","750,000",35,40,1000001,3500001,0.798,0.796
"CW",1,"1D","750,000",35,40,3500001,5500001,0.944,0.922
"CW",1,"1D","750,000",35,40,5500001,10000001,1.095,1.056
"CW",1,"1D","750,000",35,40,10000001,2147483647,1.339,1.276
"CW",1,"1D","750,000",40,45,0,1000001,0,0
"CW",1,"1D","750,000",40,45,1000001,3500001,0.796,0.796
"CW",1,"1D","750,000",40,45,3500001,5500001,0.922,0.903
"CW",1,"1D","750,000",40,45,5500001,10000001,1.056,1.024
"CW",1,"1D","750,000",40,45,10000001,2147483647,1.276,1.221
"CW",1,"1D","750,000",45,50,0,1000001,0,0
"CW",1,"1D","750,000",45,50,1000001,3500001,0.796,0.802
"CW",1,"1D","750,000",45,50,3500001,5500001,0.903,0.888
"CW",1,"1D","750,000",45,50,5500001,10000001,1.024,0.997
"CW",1,"1D","750,000",45,50,10000001,2147483647,1.221,1.176
"CW",1,"1D","750,000",50,55,0,1000001,0,0
"CW",1,"1D","750,000",50,55,1000001,3500001,0.802,0.81
"CW",1,"1D","750,000",50,55,3500001,5500001,0.888,0.877
"CW",1,"1D","750,000",50,55,5500001,10000001,0.997,0.975
"CW",1,"1D","750,000",50,55,10000001,2147483647,1.176,1.137
"CW",1,"1D","750,000",55,60,0,1000001,0,0
"CW",1,"1D","750,000",55,60,1000001,3500001,0.81,0.821
"CW",1,"1D","750,000",55,60,3500001,5500001,0.877,0.869
"CW",1,"1D","750,000",55,60,5500001,10000001,0.975,0.957
"CW",1,"1D","750,000",55,60,10000001,2147483647,1.137,1.105
"CW",1,"1D","750,000",60,65,0,1000001,0,0
"CW",1,"1D","750,000",60,65,1000001,3500001,0.821,0.838
"CW",1,"1D","750,000",60,65,3500001,5500001,0.869,0.866
"CW",1,"1D","750,000",60,65,5500001,10000001,0.957,0.943
"CW",1,"1D","750,000",60,65,10000001,2147483647,1.105,1.079
"CW",1,"1D","750,000",65,70,0,1000001,0,0
"CW",1,"1D","750,000",65,70,1000001,3500001,0.838,0.863
"CW",1,"1D","750,000",65,70,3500001,5500001,0.866,0.87
"CW",1,"1D","750,000",65,70,5500001,10000001,0.943,0.934
"CW",1,"1D","750,000",65,70,10000001,2147483647,1.079,1.057
"CW",1,"1D","750,000",70,75,0,1000001,0,0
"CW",1,"1D","750,000",70,75,1000001,3500001,0.863,0.868
"CW",1,"1D","750,000",70,75,3500001,5500001,0.87,0.881
"CW",1,"1D","750,000",70,75,5500001,10000001,0.934,0.93
"CW",1,"1D","750,000",70,75,10000001,2147483647,1.057,1.04
"CW",1,"1D","750,000",75,2147483647,0,1000001,0,0
"CW",1,"1D","750,000",75,2147483647,1000001,3500001,0.868,0.868
"CW",1,"1D","750,000",75,2147483647,3500001,5500001,0.881,0.881
"CW",1,"1D","750,000",75,2147483647,5500001,10000001,0.93,0.93
"CW",1,"1D","750,000",75,2147483647,10000001,2147483647,1.04,1.04
"CW",1,"2A","750,000",1,2,0,1000001,0.8,0.84
"CW",1,"2A","750,000",1,2,1000001,3500001,0.88,0.92
"CW",1,"2A","750,000",1,2,3500001,5500001,1.36,1.36
"CW",1,"2A","750,000",1,2,5500001,10000001,1.92,1.84
"CW",1,"2A","750,000",1,2,10000001,2147483647,3.12,2.92
"CW",1,"2A","750,000",2,3,0,1000001,0.84,0.827
"CW",1,"2A","750,000",2,3,1000001,3500001,0.92,0.907
"CW",1,"2A","750,000",2,3,3500001,5500001,1.36,1.333
"CW",1,"2A","750,000",2,3,5500001,10000001,1.84,1.787
"CW",1,"2A","750,000",2,3,10000001,2147483647,2.92,2.8
"CW",1,"2A","750,000",3,4,0,1000001,0.827,0.84
"CW",1,"2A","750,000",3,4,1000001,3500001,0.907,0.88
"CW",1,"2A","750,000",3,4,3500001,5500001,1.333,1.3
"CW",1,"2A","750,000",3,4,5500001,10000001,1.787,1.76
"CW",1,"2A","750,000",3,4,10000001,2147483647,2.8,2.68
"CW",1,"2A","750,000",4,5,0,1000001,0.84,0.832
"CW",1,"2A","750,000",4,5,1000001,3500001,0.88,0.88
"CW",1,"2A","750,000",4,5,3500001,5500001,1.3,1.296
"CW",1,"2A","750,000",4,5,5500001,10000001,1.76,1.712
"CW",1,"2A","750,000",4,5,10000001,2147483647,2.68,2.576
"CW",1,"2A","750,000",5,10,0,1000001,0.832,0.784
"CW",1,"2A","750,000",5,10,1000001,3500001,0.88,0.848
"CW",1,"2A","750,000",5,10,3500001,5500001,1.296,1.2
"CW",1,"2A","750,000",5,10,5500001,10000001,1.712,1.544
"CW",1,"2A","750,000",5,10,10000001,2147483647,2.576,2.184
"CW",1,"2A","750,000",10,15,0,1000001,0.784,0.789
"CW",1,"2A","750,000",10,15,1000001,3500001,0.848,0.827
"CW",1,"2A","750,000",10,15,3500001,5500001,1.2,1.131
"CW",1,"2A","750,000",10,15,5500001,10000001,1.544,1.424
"CW",1,"2A","750,000",10,15,10000001,2147483647,2.184,1.931
"CW",1,"2A","750,000",15,20,0,1000001,0.789,0.772
"CW",1,"2A","750,000",15,20,1000001,3500001,0.827,0.808
"CW",1,"2A","750,000",15,20,3500001,5500001,1.131,1.076
"CW",1,"2A","750,000",15,20,5500001,10000001,1.424,1.324
"CW",1,"2A","750,000",15,20,10000001,2147483647,1.931,1.752
"CW",1,"2A","750,000",20,25,0,1000001,0.772,0
"CW",1,"2A","750,000",20,25,1000001,3500001,0.808,0.79
"CW",1,"2A","750,000",20,25,3500001,5500001,1.076,1.027
"CW",1,"2A","750,000",20,25,5500001,10000001,1.324,1.248
"CW",1,"2A","750,000",20,25,10000001,2147483647,1.752,1.613
"CW",1,"2A","750,000",25,30,0,1000001,0,0
"CW",1,"2A","750,000",25,30,1000001,3500001,0.79,0.779
"CW",1,"2A","750,000",25,30,3500001,5500001,1.027,0.989
"CW",1,"2A","750,000",25,30,5500001,10000001,1.248,1.184
"CW",1,"2A","750,000",25,30,10000001,2147483647,1.613,1.504
"CW",1,"2A","750,000",30,35,0,1000001,0,0
"CW",1,"2A","750,000",30,35,1000001,3500001,0.779,0.773
"CW",1,"2A","750,000",30,35,3500001,5500001,0.989,0.955
"CW",1,"2A","750,000",30,35,5500001,10000001,1.184,1.131
"CW",1,"2A","750,000",30,35,10000001,2147483647,1.504,1.413
"CW",1,"2A","750,000",35,40,0,1000001,0,0
"CW",1,"2A","750,000",35,40,1000001,3500001,0.773,0.768
"CW",1,"2A","750,000",35,40,3500001,5500001,0.955,0.926
"CW",1,"2A","750,000",35,40,5500001,10000001,1.131,1.086
"CW",1,"2A","750,000",35,40,10000001,2147483647,1.413,1.338
"CW",1,"2A","750,000",40,45,0,1000001,0,0
"CW",1,"2A","750,000",40,45,1000001,3500001,0.768,0.766
"CW",1,"2A","750,000",40,45,3500001,5500001,0.926,0.903
"CW",1,"2A","750,000",40,45,5500001,10000001,1.086,1.047
"CW",1,"2A","750,000",40,45,10000001,2147483647,1.338,1.276
"CW",1,"2A","750,000",45,50,0,1000001,0,0
"CW",1,"2A","750,000",45,50,1000001,3500001,0.766,0.768
"CW",1,"2A","750,000",45,50,3500001,5500001,0.903,0.883
"CW",1,"2A","750,000",45,50,5500001,10000001,1.047,1.013
"CW",1,"2A","750,000",45,50,10000001,2147483647,1.276,1.222
"CW",1,"2A","750,000",50,55,0,1000001,0,0
"CW",1,"2A","750,000",50,55,1000001,3500001,0.768,0.772
"CW",1,"2A","750,000",50,55,3500001,5500001,0.883,0.867
"CW",1,"2A","750,000",50,55,5500001,10000001,1.013,0.986
"CW",1,"2A","750,000",50,55,10000001,2147483647,1.222,1.177
"CW",1,"2A","750,000",55,60,0,1000001,0,0
"CW",1,"2A","750,000",55,60,1000001,3500001,0.772,0.78
"CW",1,"2A","750,000",55,60,3500001,5500001,0.867,0.855
"CW",1,"2A","750,000",55,60,5500001,10000001,0.986,0.963
"CW",1,"2A","750,000",55,60,10000001,2147483647,1.177,1.137
"CW",1,"2A","750,000",60,65,0,1000001,0,0
"CW",1,"2A","750,000",60,65,1000001,3500001,0.78,0.793
"CW",1,"2A","750,000",60,65,3500001,5500001,0.855,0.847
"CW",1,"2A","750,000",60,65,5500001,10000001,0.963,0.943
"CW",1,"2A","750,000",60,65,10000001,2147483647,1.137,1.104
"CW",1,"2A","750,000",65,70,0,1000001,0,0
"CW",1,"2A","750,000",65,70,1000001,3500001,0.793,0.811
"CW",1,"2A","750,000",65,70,3500001,5500001,0.847,0.843
"CW",1,"2A","750,000",65,70,5500001,10000001,0.943,0.928
"CW",1,"2A","750,000",65,70,10000001,2147483647,1.104,1.077
"CW",1,"2A","750,000",70,75,0,1000001,0,0
"CW",1,"2A","750,000",70,75,1000001,3500001,0.811,0.842
"CW",1,"2A","750,000",70,75,3500001,5500001,0.843,0.847
