"StateCode","RatingType","DisplayValue","DataValue"
"CW","Tentative","2200","2200"
"CW","Tentative","2250","2250"
"CW","Tentative","2300","2300"
"CW","Tentative","2350","2350"
"CW","Tentative","2400","2400"
"CW","Tentative","2459","2459"
"CW","Tentative","2550","2550"
"CW","Tentative","2600","2600"
"CW","Tentative","2750","2750"
"CW","Tentative","2800","2800"
"CW","Tentative","2805","2805"
"CW","Tentative","3009","3009"
"CW","Tentative","3409","3409"
"CW","Tentative","3809","3809"
"CW","Tentative","3959","3959"
"CW","Tentative","4400","4400"
"CW","Tentative","4450","4450"
"CW","Tentative","4809","4809"
"CW","Tentative","5000","5000"
"CW","Tentative","5050","5050"
"CW","Tentative","5100","5100"
"CW","Tentative","5500","5500"
"CW","Tentative","5759","5759"
"CW","Tentative","6009","6009"
"CW","Tentative","6210","6210"
"CW","Tentative","6250","6250"
"CW","Tentative","6810","6810"
"CW","Tentative","6850","6850"
"CW","Tentative","6900","6900"
"CW","Tentative","7300","7300"
"CW","Tentative","7350","7350"
"CW","Tentative","7409","7409"
"CW","Tentative","7500","7500"
"CW","Tentative","7600","7600"
"CW","Tentative","7700","7700"
