"StateCode","PolicyType","CauseOfLossSpecialClass","IncludedInBlktSpecialClass","ValuationTypeSpecialClass","AgreedValueBldg","DisplayValue","DataValue"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Standard Property Policy","Fire and Vandalism","No","Actual Cash Value","Not Applicable","None","None"
"CW","Standard Property Policy","Fire and Vandalism","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Actual Cash Value","Not Applicable","None","None"
"CW","Standard Property Policy","Fire, Vandalism and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
