"StateCode","PolicyType","CovTypeBldg","CauseOfLossBldg","IncludedInBlktBldg","ValuationTypeBldg","AgreedValueBldg","DisplayValue","DataValue"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Broad","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Functional Valuation","Blanket Agreed Value Option Applies","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Condominium Association","Special","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","50%","50%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","60%","60%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","70%","70%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","No","None","None"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Basic","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Replacement Cost","Blanket Agreed Value Option Applies","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Actual Cash Value","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Replacement Cost","No","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Replacement Cost","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Blanket Cause of Loss Applies","Yes","Replacement Cost","Yes","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Broad","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Functional Valuation","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","No","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","No","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","No","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Functional Valuation","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Actual Cash Value","Yes","100%","100%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Functional Valuation","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","Yes","80%","80%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","Yes","90%","90%"
"CW","Commercial Property Policy","Improvements and Betterments","Special","No","Replacement Cost","Yes","100%","100%"
"CW","Commercial Property Policy","Leasehold Interest","Basic","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Basic","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Basic","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Broad","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Broad","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Broad","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Special","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Special","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Leasehold Interest","Special","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Basic","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Basic","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Basic","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Broad","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Broad","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Broad","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Special","No","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Special","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","Legal Liability","Special","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","50%","50%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","60%","60%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","70%","70%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","80%","80%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","90%","90%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","100%","100%"
"CW","Commercial Property Policy","No Coverage","Basic","Not Applicable","Not Applicable","Not Applicable","None","None"
"CW","Commercial Property Policy","No Coverage","Broad","Not Applicable","Not Applicable","Not Applicable","80%","80%"
"CW","Commercial Property Policy","No Coverage","Broad","Not Applicable","Not Applicable","Not Applicable","90%","90%"
"CW","Commercial Property Policy","No Coverage","Broad","Not Applicable","Not Applicable","Not Applicable","100%","100%"
"CW","Commercial Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Not Applicable","Not Applicable","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Commercial Property Policy","No Coverage","Special","Not Applicable","Not Applicable","Not Applicable","80%","80%"
"CW","Commercial Property Policy","No Coverage","Special","Not Applicable","Not Applicable","Not Applicable","90%","90%"
"CW","Commercial Property Policy","No Coverage","Special","Not Applicable","Not Applicable","Not Applicable","100%","100%"
"CW","Standard Property Policy","Builders Risk","Blanket Cause of Loss Applies","Yes","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire and Sprinkler Leakage","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire and Sprinkler Leakage","No","Not Applicable","Yes","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire and Vandalism","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire, Sprinkler Leakage and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire, Vandalism and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire, Vandalism and Sprinkler Leakage","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Builders Risk","Fire, Vandalism, Sprinkler Leakage and Allied Lines","No","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CW","Standard Property Policy","Building","Blanket Cause of Loss Applies","Yes","Actual Cash Value","Not Applicable","Blanket Coinsurance Percentage Applies","Blanket Coinsurance Percentage Applies"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","100%","100%"
"CW","Standard Property Policy","Building","Fire","No","Actual Cash Value","Not Applicable","None","None"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","50%","50%"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","60%","60%"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","70%","70%"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","80%","80%"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","90%","90%"
"CW","Standard Property Policy","Building","Fire and Allied Lines","No","Actual Cash Value","Not Applicable","100%","100%"
